CUSTOMER	RETAILER	TASK	FACILITY
Golden Bull Mktg.	Costco	Routing	Cyprus (Summerville, SC)
Golden Bull Mktg.	Tractor Supply Co	Scheduling	Cyprus (Summerville, SC)
Golden Bull Mktg.	Walmart	Scheduling	Cyprus (Summerville, SC)
Golden Bull Mktg.	The Home Depot	Scheduling	Cyprus (Summerville, SC)
Golden Bull Mktg.	Wayfair	Scheduling	Cyprus (Summerville, SC)
Golden Bull Mktg.	Variety Whole Saler	Routing	Cyprus (Summerville, SC)
Golden Bull Mktg.	Garage Organization	Scheduling	Cyprus (Summerville, SC)
Golden Bull Mktg.	Lowes	Scheduling	Cyprus (Summerville, SC)
Golden Bull Mktg.	Bed Bath & Beyond	Routing	Cyprus (Summerville, SC)
Golden Bull Mktg.	Bison Office	Routing	Cyprus (Summerville, SC)
Golden Bull Mktg.	Bluestem	Scheduling	Cyprus (Summerville, SC)
Golden Bull Mktg.	Casaone	Scheduling	Cyprus (Summerville, SC)
Golden Bull Mktg.	Ebay	Scheduling	Cyprus (Summerville, SC)
Golden Bull Mktg.	Hayneedle	Scheduling	Cyprus (Summerville, SC)
Golden Bull Mktg.	Houzz	Scheduling	Cyprus (Summerville, SC)
Golden Bull Mktg.	Pricesmart	Scheduling	Cyprus (Summerville, SC)
Golden Bull Mktg.	Zoro	Routing	Cyprus (Summerville, SC)
Golden Bull Mktg.	Temu	Scheduling	Cyprus (Summerville, SC)
Golden Bull Mktg.	GBM_Walmart (COPILOT)	Routing	Cyprus (Summerville, SC)
Golden Bull Mktg.	GBM_Walmart (EFWW)	Routing	Cyprus (Summerville, SC)
Golden Bull Mktg.	Ceva - Costco	Routing	Cyprus (Summerville, SC)
Pleass Global	Burlington	Routing / Scheduling	Valley View (Buena Park, CA)
Vitacoco	LTL Scheduling	Scheduling	Ignition (Jacksonville, FL)
Star Elite	Amazon	Routing / Scheduling	Airport (Ontario, CA)
Golden Bull Mktg.	Costco	Routing / Scheduling	Seabrook (Pooler, GA)
Golden Bull Mktg.	Zoro	Routing / Scheduling	Seabrook (Pooler, GA)
Golden Bull Mktg.	Amazon	Scheduling	Seabrook (Pooler, GA)
Golden Bull Mktg.	Tractor Supply Co	Scheduling	Seabrook (Pooler, GA)
Golden Bull Mktg.	Walmart	Scheduling	Seabrook (Pooler, GA)
Golden Bull Mktg.	The Home Depot	Scheduling	Seabrook (Pooler, GA)
Golden Bull Mktg.	Wayfair	Scheduling	Seabrook (Pooler, GA)
Golden Bull Mktg.	Variety Whole Saler	Scheduling	Seabrook (Pooler, GA)
Golden Bull Mktg.	Garage Organization	Scheduling	Seabrook (Pooler, GA)
O5 Apparel	Nordstrom	Routing / Scheduling	Alessandro (Riverside, CA)
O5 Apparel	Burlington	Routing / Scheduling	Alessandro (Riverside, CA)
O5 Apparel	Retail Concepts	Routing / Scheduling	Alessandro (Riverside, CA)
O5 Apparel	Sierra Wholesale	Routing / Scheduling	Alessandro (Riverside, CA)
O5 Apparel	Ross Stores	Routing / Scheduling	Alessandro (Riverside, CA)
O5 Apparel	Urban Outfitters	Routing / Scheduling	Alessandro (Riverside, CA)
Golden Bull Mktg.	Lowes	Scheduling	Seabrook (Pooler, GA)
Golden Bull Mktg.	Bed Bath & Beyond	Scheduling	Seabrook (Pooler, GA)
Golden Bull Mktg.	Bison Office	Scheduling	Seabrook (Pooler, GA)
Golden Bull Mktg.	Bluestem	Scheduling	Seabrook (Pooler, GA)
Golden Bull Mktg.	Casaone	Scheduling	Seabrook (Pooler, GA)
Golden Bull Mktg.	Ebay	Scheduling	Seabrook (Pooler, GA)
Golden Bull Mktg.	Hayneedle	Scheduling	Seabrook (Pooler, GA)
